CA1-3 Personal income summary,,,Year: 2011,,
21195,"Pike, KY",64904,2122003,32694,41093
21197,"Powell, KY",12651,335594,26527,27386
21199,"Pulaski, KY",63657,1848781,29043,30746
21201,"Robertson, KY",2229,58019,26029,22229
21203,"Rockcastle, KY",17069,407350,23865,29505
21205,"Rowan, KY",23582,612023,25953,29442
21207,"Russell, KY",17610,495485,28137,29511
21209,"Scott, KY",48149,1655194,34376,45076
21211,"Shelby, KY",43068,1514846,35173,34579
21213,"Simpson, KY",17378,549068,31596,34259
21215,"Spencer, KY",17378,604855,34806,29262
21217,"Taylor, KY",24731,713169,28837,27784
21219,"Todd, KY",12463,345989,27761,26937
21221,"Trigg, KY",14305,534327,37352,29368
21223,"Trimble, KY",8725,204693,23461,39351
21225,"Union, KY",15067,538895,35767,39210
21227,"Warren, KY",115517,3699388,32025,35397
21229,"Washington, KY",11846,325786,27502,32005
21231,"Wayne, KY",20969,482702,23020,27645
21233,"Webster, KY",13668,440899,32258,44581
21235,"Whitley, KY",35823,1056770,29500,33032
21237,"Wolfe, KY",7342,167611,22829,26506
21239,"Woodford, KY",24945,1041585,41755,35818
22001,"Acadia, LA",61982,2038125,32883,35057
22003,"Allen, LA",25757,617616,23979,32585
22005,"Ascension, LA",109985,4552069,41388,45829
22007,"Assumption, LA",23153,841014,36324,39399
22009,"Avoyelles, LA",41895,1276916,30479,30496
22011,"Beauregard, LA",36129,1073212,29705,37385
22013,"Bienville, LA",14335,437858,30545,34919
22015,"Bossier, LA",119732,4393849,36697,40010
22017,"Caddo, LA",257051,10490161,40810,41288
22019,"Calcasieu, LA",194092,7058263,36366,41837
22021,"Caldwell, LA",10057,291909,29025,30162
22023,"Cameron, LA",6730,236320,35114,48752
22025,"Catahoula, LA",10325,316512,30655,28457
22027,"Claiborne, LA",16914,499212,29515,37132
22029,"Concordia, LA",20876,562319,26936,31114
22031,"De Soto, LA",26812,815532,30417,44749
22033,"East Baton Rouge, LA",441438,18528814,41974,44939
22035,"East Carroll, LA",7630,241687,31676,30453
22037,"East Feliciana, LA",20117,683458,33974,37011
22039,"Evangeline, LA",33896,972935,28704,33611
22041,"Franklin, LA",20785,600294,28881,27837
22043,"Grant, LA",22131,566455,25596,37061
22045,"Iberia, LA",73400,2774923,37805,44723
22047,"Iberville, LA",33230,1064675,32040,56356
22049,"Jackson, LA",16323,468830,28722,36163
22051,"Jefferson, LA",432640,19391284,44821,45654
22053,"Jefferson Davis, LA",31694,992367,31311,33472
22055,"Lafayette, LA",224390,10559817,47060,46880
22057,"Lafourche, LA",96666,4392199,45437,47655
22059,"La Salle, LA",14985,450532,30066,36730
22061,"Lincoln, LA",46856,1464552,31256,34105
22063,"Livingston, LA",130251,4146155,31832,34930
22065,"Madison, LA",12004,308605,25709,27597
22067,"Morehouse, LA",27608,822027,29775,29407
22069,"Natchitoches, LA",39442,1195367,30307,32757
22071,"Orleans, LA",360740,15346678,42542,49393
22073,"Ouachita, LA",154919,5306948,34256,36465
22075,"Plaquemines, LA",23628,943212,39919,56843
22077,"Pointe Coupee, LA",22703,832054,36650,35901
22079,"Rapides, LA",132374,5112771,38624,37144
22081,"Red River, LA",8890,267444,30084,39908
22083,"Richland, LA",20938,649187,31005,30098
22085,"Sabine, LA",24526,700136,28547,32236
22087,"St. Bernard, LA",39558,1382851,34958,45073
22089,"St. Charles, LA",52517,1968913,37491,58845
22091,"St. Helena, LA",10949,381636,34856,33129
22093,"St. James, LA",21784,702880,32266,57429
22095,"St. John the Baptist, LA",45221,1652738,36548,49127
22097,"St. Landry, LA",83552,2914369,34881,34183
22099,"St. Martin, LA",52917,1692758,31989,35310
22101,"St. Mary, LA",54210,2030833,37462,46323
22103,"St. Tammany, LA",236785,11249118,47508,41035
22105,"Tangipahoa, LA",122571,3889408,31732,36488
22107,"Tensas, LA",5066,195658,38622,32126
22109,"Terrebonne, LA",111917,4450322,39764,46770
22111,"Union, LA",22732,705843,31051,29460
22113,"Vermilion, LA",58276,1806432,30998,41011
22115,"Vernon, LA",52107,2286829,43887,46260
22117,"Washington, LA",47139,1297596,27527,34354
22119,"Webster, LA",41288,1415853,34292,37587
22121,"West Baton Rouge, LA",24109,895896,37160,43984
22123,"West Carroll, LA",11569,274801,23753,29494
22125,"West Feliciana, LA",15460,424746,27474,49493
22127,"Winn, LA",15080,452482,30005,32511
23001,"Androscoggin, ME",107398,3886971,36192,37189
23003,"Aroostook, ME",71482,2290111,32038,33029
23005,"Cumberland, ME",282401,13277134,47015,44762
23007,"Franklin, ME",30746,945649,30757,35110
23009,"Hancock, ME",54578,2103563,38542,34899
23011,"Kennebec, ME",121935,4506458,36958,38081
23013,"Knox, ME",39708,1539763,38777,34951
23015,"Lincoln, ME",34224,1387251,40534,31430
23017,"Oxford, ME",57695,1788511,30999,34311
23019,"Penobscot, ME",153786,5219561,33940,36205
23021,"Piscataquis, ME",17419,560693,32189,30993
23023,"Sagadahoc, ME",35207,1445028,41044,45440
23025,"Somerset, ME",52028,1640884,31538,36381
23027,"Waldo, ME",38745,1255977,32416,33434
23029,"Washington, ME",32637,1068458,32738,32285
23031,"York, ME",198199,7952506,40124,39341
24001,"Allegany, MD",74692,2453991,32855,36613
24003,"Anne Arundel, MD",544403,30633776,56270,57697
24005,"Baltimore, MD",809941,41247408,50926,50631
24009,"Calvert, MD",89256,4238187,47483,43241
24011,"Caroline, MD",32985,1082546,32819,36154
24013,"Carroll, MD",167288,7612765,45507,38835
24015,"Cecil, MD",101694,4036174,39689,42201
24017,"Charles, MD",149130,6677709,44778,41812
24019,"Dorchester, MD",32640,1134936,34771,35645
24021,"Frederick, MD",236745,11034674,46610,48743
24023,"Garrett, MD",30051,1155860,38463,32226
24025,"Harford, MD",246489,12159148,49329,49200
24027,"Howard, MD",293142,19435303,66300,60252
24029,"Kent, MD",20204,898852,44489,36951
24031,"Montgomery, MD",989794,69050166,69762,67054
24033,"Prince George's, MD",871233,35036640,40215,52566
24035,"Queen Anne's, MD",48354,2398624,49605,36089
24037,"St. Mary's, MD",107484,4820539,44849,62052
24039,"Somerset, MD",26339,747680,28387,39378
24041,"Talbot, MD",38025,2118791,55721,38280
24043,"Washington, MD",148203,5484690,37008,39176
24045,"Wicomico, MD",99190,3470201,34985,38744
24047,"Worcester, MD",51514,2265940,43987,31216
24510,"Baltimore (Independent City), MD",619493,26040916,42036,56631
25001,"Barnstable, MA",215769,11967542,55465,40684
25003,"Berkshire, MA",130458,5803100,44483,39476
25005,"Bristol, MA",548922,22991064,41884,43160
25007,"Dukes, MA",16766,1007215,60075,42583
25009,"Essex, MA",748930,39850129,53209,50716
25011,"Franklin, MA",71599,3049251,42588,36091
25013,"Hampden, MA",463783,18401474,39677,43827
25015,"Hampshire, MA",157822,6259884,39664,37940
25017,"Middlesex, MA",1518171,94619078,62324,69497
25019,"Nantucket, MA",10142,770250,75947,48175
25021,"Norfolk, MA",675436,45123037,66806,56365
25023,"Plymouth, MA",497579,25360407,50968,44990
25025,"Suffolk, MA",730932,40546224,55472,76629
25027,"Worcester, MA",801227,36494010,45548,47903
26001,"Alcona, MI",10800,315458,29209,30186
26003,"Alger, MI",9513,242757,25518,33799
26005,"Allegan, MI",111234,3733618,33565,40808
26007,"Alpena, MI",29386,987716,33612,35328
26009,"Antrim, MI",23316,759810,32587,27963
26011,"Arenac, MI",15649,474708,30335,28745
26013,"Baraga, MI",8808,228509,25943,32557
26015,"Barry, MI",58820,1956851,33268,35141
26017,"Bay, MI",107110,3613534,33737,38290
26019,"Benzie, MI",17443,542114,31079,28242
26021,"Berrien, MI",156941,5623209,35830,40141
26023,"Branch, MI",45197,1269932,28098,36668
26025,"Calhoun, MI",135490,4544449,33541,44044
26027,"Cass, MI",51988,1820995,35027,32648
26029,"Charlevoix, MI",25998,945316,36361,38586
26031,"Cheboygan, MI",25918,765446,29533,30190
26033,"Chippewa, MI",38797,1046632,26977,33367
26035,"Clare, MI",31033,878145,28297,31603
26037,"Clinton, MI",75469,2711290,35926,37883
26039,"Crawford, MI",14014,385399,27501,37315
26041,"Delta, MI",37105,1193854,32175,35623
26043,"Dickinson, MI",26185,984402,37594,39140
26045,"Eaton, MI",108056,3636609,33655,40160
26047,"Emmet, MI",32848,1308723,39842,35188
26049,"Genesee, MI",422080,13108416,31057,39973
26051,"Gladwin, MI",25851,694165,26853,30877
26053,"Gogebic, MI",16281,479535,29454,30918
26055,"Grand Traverse, MI",88349,3259588,36894,38049
26057,"Gratiot, MI",42145,1291632,30647,35250
26059,"Hillsdale, MI",46514,1324743,28481,37290
26061,"Houghton, MI",36638,995407,27169,31675
26063,"Huron, MI",32675,1317981,40336,34226
26065,"Ingham, MI",281613,9701487,34450,43872
26067,"Ionia, MI",63979,1713428,26781,31515
26069,"Iosco, MI",25541,721408,28245,29342
26071,"Iron, MI",11796,389290,33002,32312
26073,"Isabella, MI",70622,1974606,27960,31407
26075,"Jackson, MI",159748,5015497,31396,40078
26077,"Kalamazoo, MI",252074,9057879,35933,43119
26079,"Kalkaska, MI",17160,465678,27137,41416
26081,"Kent, MI",608453,22262941,36589,42403
26083,"Keweenaw, MI",2173,80154,36886,21438
26085,"Lake, MI",11539,319262,27668,32238
26087,"Lapeer, MI",88082,2803219,31825,32402
26089,"Leelanau, MI",21459,943714,43978,29451
26091,"Lenawee, MI",99440,3242795,32611,36653
26093,"Livingston, MI",181722,7391934,40677,39464
26095,"Luce, MI",6584,161258,24492,33612
26097,"Mackinac, MI",11037,371676,33675,29904
26099,"Macomb, MI",842145,30079004,35717,48830
26101,"Manistee, MI",24709,738819,29901,34149
26103,"Marquette, MI",67694,2203746,32555,38491
26105,"Mason, MI",28678,907924,31659,33001
26107,"Mecosta, MI",43300,1183304,27328,34427
26109,"Menominee, MI",23930,762675,31871,31492
26111,"Midland, MI",84063,3652161,43446,54211
26113,"Missaukee, MI",14911,396503,26591,32770
26115,"Monroe, MI",151560,5402726,35647,42683
26117,"Montcalm, MI",63185,1589745,25160,33971
26119,"Montmorency, MI",9653,270214,27993,32065
26121,"Muskegon, MI",171302,5099031,29766,38025
26123,"Newaygo, MI",48352,1371772,28371,35573
26125,"Oakland, MI",1210145,64496968,53297,53717
26127,"Oceana, MI",26523,844387,31836,30642
26129,"Ogemaw, MI",21570,591776,27435,27136
26131,"Ontonagon, MI",6598,194731,29514,29050
26133,"Osceola, MI",23510,629646,26782,42556
26135,"Oscoda, MI",8608,218195,25348,27196
26137,"Otsego, MI",24078,723063,30030,34266
26139,"Ottawa, MI",266300,8994921,33777,39259
26141,"Presque Isle, MI",13155,387410,29450,32373
26143,"Roscommon, MI",24414,731150,29948,30220
26145,"Saginaw, MI",199088,6372166,32007,39201
26147,"St. Clair, MI",161642,5408369,33459,38505
26149,"St. Joseph, MI",61136,1823463,29826,37042
26151,"Sanilac, MI",42605,1371588,32193,32259
26153,"Schoolcraft, MI",8490,259777,30598,34966
26155,"Shiawassee, MI",69841,2054877,29422,32511
26157,"Tuscola, MI",55422,1570715,28341,34241
26159,"Van Buren, MI",76131,2361064,31013,37246
26161,"Washtenaw, MI",347962,14204286,40821,46382
26163,"Wayne, MI",1802096,61293247,34012,52436
26165,"Wexford, MI",32718,905000,27661,34083
27001,"Aitkin, MN",16220,501988,30949,29293
27003,"Anoka, MN",333140,13275546,39850,44204
27005,"Becker, MN",32778,1212715,36998,31372
27007,"Beltrami, MN",45264,1440922,31834,32727
27009,"Benton, MN",38671,1325269,34270,34803
27011,"Big Stone, MN",5238,207534,39621,30820
27013,"Blue Earth, MN",64384,2369868,36808,34867
27015,"Brown, MN",25734,1008880,39204,32026
27017,"Carlton, MN",35455,1131084,31902,35154
27019,"Carver, MN",92638,5357246,57830,45508
27021,"Cass, MN",28390,1068841,37649,25923
27023,"Chippewa, MN",12319,567057,46031,32892
27025,"Chisago, MN",53916,1895680,35160,34690
27027,"Clay, MN",59803,2119907,35448,32958
27029,"Clearwater, MN",8774,259561,29583,31842
27031,"Cook, MN",5218,213959,41004,28970
27033,"Cottonwood, MN",11686,502813,43027,30456
27035,"Crow Wing, MN",62763,2111338,33640,32734
27037,"Dakota, MN",402006,18612486,46299,46391
27039,"Dodge, MN",20243,770591,38067,35268
27041,"Douglas, MN",36172,1363788,37703,34045
27043,"Faribault, MN",14508,680615,46913,38388
27045,"Fillmore, MN",20876,797147,38185,28724
27047,"Freeborn, MN",31172,1217338,39052,33465
27049,"Goodhue, MN",46217,1958539,42377,37643
27051,"Grant, MN",5989,242169,40436,31028
27053,"Hennepin, MN",1168431,67156517,57476,59340
27055,"Houston, MN",18916,767123,40554,27422
27057,"Hubbard, MN",20303,649967,32013,30243
27059,"Isanti, MN",38283,1399031,36544,35098
27061,"Itasca, MN",45034,1513325,33604,35247
27063,"Jackson, MN",10202,506694,49666,31086
27065,"Kanabec, MN",16169,499900,30917,30078
27067,"Kandiyohi, MN",42173,1803711,42769,33238
27069,"Kittson, MN",4515,198272,43914,32596
27071,"Koochiching, MN",13213,473755,35855,39424
27073,"Lac qui Parle, MN",7193,341296,47448,29893
27075,"Lake, MN",10824,449249,41505,38119
27077,"Lake of the Woods, MN",4007,132596,33091,27918
27079,"Le Sueur, MN",27656,1040080,37608,33531
27081,"Lincoln, MN",5820,241871,41559,28707
27083,"Lyon, MN",25891,1044508,40343,35213
27085,"McLeod, MN",36432,1324635,36359,36765
27087,"Mahnomen, MN",5456,166846,30580,27435
27089,"Marshall, MN",9481,397899,41968,35306
27091,"Martin, MN",20689,942021,45532,34048
27093,"Meeker, MN",23265,821353,35304,32275
27095,"Mille Lacs, MN",25979,751863,28941,29149
27097,"Morrison, MN",33229,1129279,33985,30728
27099,"Mower, MN",39349,1584490,40268,39069
27101,"Murray, MN",8630,434814,50384,30080
27103,"Nicollet, MN",32820,1267850,38630,34317
27105,"Nobles, MN",21397,889032,41549,33395
27107,"Norman, MN",6869,291898,42495,31178
27109,"Olmsted, MN",145769,6664680,45721,50905
27111,"Otter Tail, MN",57252,2105785,36781,32080
27113,"Pennington, MN",14072,602008,42781,36338
27115,"Pine, MN",29604,849833,28707,27531
27117,"Pipestone, MN",9501,409786,43131,27170
27119,"Polk, MN",31456,1221257,38824,32642
27121,"Pope, MN",10894,468866,43039,34904
27123,"Ramsey, MN",514696,23348969,45365,52882
27125,"Red Lake, MN",4105,146526,35695,32318
27127,"Redwood, MN",15972,683273,42779,30151
27129,"Renville, MN",15500,663901,42832,34952
27131,"Rice, MN",64409,2101746,32631,36559
27133,"Rock, MN",9614,437028,45457,30569
27135,"Roseau, MN",15540,631507,40638,39536
27137,"St. Louis, MN",200255,7621547,38059,39043
27139,"Scott, MN",132556,6018025,45400,41770
27141,"Sherburne, MN",89319,2989852,33474,37803
27143,"Sibley, MN",15169,594695,39205,31491
27145,"Stearns, MN",151343,5373333,35504,37193
27147,"Steele, MN",36534,1445080,39554,37745
27149,"Stevens, MN",9685,421754,43547,35698
27151,"Swift, MN",9640,384857,39923,32945
27153,"Todd, MN",24836,765896,30838,30696
27155,"Traverse, MN",3523,163356,46368,29193
27157,"Wabasha, MN",21600,852267,39457,31146
27159,"Wadena, MN",13749,418746,30456,31460
27161,"Waseca, MN",19273,735429,38159,34029
27163,"Washington, MN",241280,11948856,49523,39099
27165,"Watonwan, MN",11201,437664,39074,29969
27167,"Wilkin, MN",6592,279748,42437,32999
27169,"Winona, MN",51378,1800754,35049,34608
27171,"Wright, MN",126437,4702897,37196,35882
27173,"Yellow Medicine, MN",10307,443052,42986,32810
28001,"Adams, MS",32067,1048887,32709,32151
28003,"Alcorn, MS",37052,1031690,27844,33361
28005,"Amite, MS",13064,376272,28802,28026
28007,"Attala, MS",19466,514912,26452,30644
28009,"Benton, MS",8732,192652,22063,29533
28011,"Bolivar, MS",33771,1084262,32106,31389
28013,"Calhoun, MS",14917,398459,26712,27830
28015,"Carroll, MS",10373,359258,34634,28131
28017,"Chickasaw, MS",17124,491640,28711,30182
28019,"Choctaw, MS",8412,217411,25845,32996
28021,"Claiborne, MS",9585,266503,27804,46940
28023,"Clarke, MS",16743,445410,26603,30543
28025,"Clay, MS",20456,601758,29417,32529
28027,"Coahoma, MS",25913,844940,32607,32117
28029,"Copiah, MS",29247,718085,24552,31098
28031,"Covington, MS",19629,553386,28192,30248
28033,"DeSoto, MS",164053,5534603,33737,33077
28035,"Forrest, MS",75842,2290297,30198,36727
28037,"Franklin, MS",8017,212964,26564,33883
28039,"George, MS",22889,583137,25477,30675
28041,"Greene, MS",14338,329050,22950,29333
28043,"Grenada, MS",21706,656194,30231,31708
28045,"Hancock, MS",44649,1496411,33515,47207
28047,"Harrison, MS",191040,6854151,35878,38047
28049,"Hinds, MS",248184,8803835,35473,41806
28051,"Holmes, MS",18818,523429,27815,28915
28053,"Humphreys, MS",9312,268256,28808,24129
28055,"Issaquena, MS",1392,60271,43298,25286
28057,"Itawamba, MS",23332,697972,29915,31273
28059,"Jackson, MS",139901,5001238,35748,46272
28061,"Jasper, MS",16777,482407,28754,34342
28063,"Jefferson, MS",7605,192958,25373,28863
28065,"Jefferson Davis, MS",12118,327545,27030,32156
28067,"Jones, MS",68075,2275894,33432,37163
28069,"Kemper, MS",10146,277621,27363,30178
28071,"Lafayette, MS",48472,1567825,32345,34798
28073,"Lamar, MS",57422,1974494,34386,29222
28075,"Lauderdale, MS",80475,2622049,32582,35783
28077,"Lawrence, MS",12687,392552,30941,39548
28079,"Leake, MS",23572,571003,24224,27976
28081,"Lee, MS",84156,2897633,34432,36509
28083,"Leflore, MS",31861,984107,30888,31978
28085,"Lincoln, MS",34889,959998,27516,33319
28087,"Lowndes, MS",59671,2023156,33905,39489
28089,"Madison, MS",96941,4869621,50233,40156
28091,"Marion, MS",26809,760946,28384,33113
28093,"Marshall, MS",36786,965133,26236,31908
28095,"Monroe, MS",36626,1044417,28516,34942
28097,"Montgomery, MS",10872,309459,28464,27716
28099,"Neshoba, MS",29818,1007132,33776,31841
28101,"Newton, MS",21499,597705,27802,29724
28103,"Noxubee, MS",11351,294031,25904,27169
28105,"Oktibbeha, MS",47741,1352963,28340,32470
28107,"Panola, MS",34602,957038,27658,32463
28109,"Pearl River, MS",55718,1585371,28453,31121
28111,"Perry, MS",12164,279539,22981,39365
28113,"Pike, MS",40406,1105562,27361,30527
28115,"Pontotoc, MS",29900,801261,26798,31059
28117,"Prentiss, MS",25330,629975,24871,29481
28119,"Quitman, MS",8134,232490,28582,27115
28121,"Rankin, MS",143702,5218863,36317,36762
28123,"Scott, MS",28388,738832,26026,29628
28125,"Sharkey, MS",4892,152572,31188,26957
28127,"Simpson, MS",27320,865754,31689,27101
28129,"Smith, MS",16442,414206,25192,32778
28131,"Stone, MS",17822,502561,28199,31365
28133,"Sunflower, MS",29296,790072,26969,29356
28135,"Tallahatchie, MS",15318,385808,25187,27756
28137,"Tate, MS",28719,822612,28643,31586
28139,"Tippah, MS",22143,590258,26657,31515
28141,"Tishomingo, MS",19603,483819,24681,30048
28143,"Tunica, MS",10628,328859,30943,32285
28145,"Union, MS",27340,788978,28858,33967
28147,"Walthall, MS",15406,384707,24971,27218
28149,"Warren, MS",48346,1778738,36792,40194
28151,"Washington, MS",50406,1583369,31412,32238
28153,"Wayne, MS",20589,567329,27555,32130
28155,"Webster, MS",10319,258989,25098,28403
28157,"Wilkinson, MS",9679,238927,24685,30497
28159,"Winston, MS",19069,505155,26491,31331
28161,"Yalobusha, MS",12552,380368,30303,30817
28163,"Yazoo, MS",27886,732857,26280,34157
29001,"Adair, MO",25552,698101,27321,28018
29003,"Andrew, MO",17196,764618,44465,29763
29005,"Atchison, MO",5569,229724,41250,28402
29007,"Audrain, MO",25566,815540,31899,31914
29009,"Barry, MO",35282,1068268,30278,33444
29011,"Barton, MO",12327,355298,28823,28174
29013,"Bates, MO",17008,551545,32429,28754
29015,"Benton, MO",19115,550395,28794,27888
29017,"Bollinger, MO",12356,330469,26746,26779
29019,"Boone, MO",165627,6195946,37409,36992
29021,"Buchanan, MO",89666,3024617,33732,38532
29023,"Butler, MO",43082,1491155,34612,32989
29025,"Caldwell, MO",9315,338786,36370,31134
29027,"Callaway, MO",44420,1274726,28697,37268
29029,"Camden, MO",43679,1433829,32827,29650
29031,"Cape Girardeau, MO",76632,2742848,35792,36121
29033,"Carroll, MO",9260,338473,36552,29901
29035,"Carter, MO",6365,165320,25973,26115
29037,"Cass, MO",100052,3526189,35244,32968
29039,"Cedar, MO",13948,375954,26954,26863
29041,"Chariton, MO",7734,301508,38985,29940
29043,"Christian, MO",78570,2515355,32014,30054
29045,"Clark, MO",7019,223055,31779,24874
29047,"Clay, MO",225161,8604111,38213,46041
29049,"Clinton, MO",20789,740676,35628,30647
29051,"Cole, MO",76448,3069148,40147,38276
29053,"Cooper, MO",17663,543835,30790,30953
29055,"Crawford, MO",24800,760063,30648,32226
29057,"Dade, MO",7807,205052,26265,26639
29059,"Dallas, MO",16749,480852,28709,25727
29061,"Daviess, MO",8313,244821,29450,27293
29063,"DeKalb, MO",12767,315311,24697,29713
29065,"Dent, MO",15676,445757,28436,32199
29067,"Douglas, MO",13548,344931,25460,28450
29069,"Dunklin, MO",31974,1018542,31855,26970
29071,"Franklin, MO",101938,3650522,35811,35253
29073,"Gasconade, MO",15168,479221,31594,28620
29075,"Gentry, MO",6786,236742,34887,27058
29077,"Greene, MO",277214,9821541,35429,37084
29079,"Grundy, MO",10228,324300,31707,31677
29081,"Harrison, MO",8866,277540,31304,26372
29083,"Henry, MO",22219,717378,32287,32375
29085,"Hickory, MO",9628,219706,22819,26039
29087,"Holt, MO",4814,176342,36631,29233
29089,"Howard, MO",10204,371270,36385,26267
29091,"Howell, MO",40665,1120531,27555,30467
29093,"Iron, MO",10656,290611,27272,39080
29095,"Jackson, MO",676360,27435693,40564,49247
29097,"Jasper, MO",118435,3518579,29709,35702
29099,"Jefferson, MO",219480,7611855,34681,33830
29101,"Johnson, MO",53439,1583859,29639,35335
29103,"Knox, MO",4126,129391,31360,27225
29105,"Laclede, MO",35636,977277,27424,30691
29107,"Lafayette, MO",33209,1256334,37831,29067
29109,"Lawrence, MO",38660,1039801,26896,31270
29111,"Lewis, MO",10155,295446,29094,28993
29113,"Lincoln, MO",53076,1608739,30310,33775
29115,"Linn, MO",12566,406425,32343,33628
29117,"Livingston, MO",15074,494064,32776,31345
29119,"McDonald, MO",22977,570944,24849,28952
29121,"Macon, MO",15591,485882,31164,29385
29123,"Madison, MO",12195,332415,27258,28286
29125,"Maries, MO",9171,293054,31954,26974
29127,"Marion, MO",28717,982134,34200,33953
29129,"Mercer, MO",3804,104092,27364,40129
29131,"Miller, MO",24770,675286,27262,29335
29133,"Mississippi, MO",14306,396040,27683,29746
29135,"Moniteau, MO",15697,502605,32019,28421
29137,"Monroe, MO",8734,276026,31604,29091
29139,"Montgomery, MO",12270,387844,31609,29271
29141,"Morgan, MO",20502,606445,29580,26416
29143,"New Madrid, MO",18783,602277,32065,36779
29145,"Newton, MO",58414,2035961,34854,35772
29147,"Nodaway, MO",23468,636305,27114,31529
29149,"Oregon, MO",11017,272872,24768,26890
29151,"Osage, MO",13915,488416,35100,29003
29153,"Ozark, MO",9595,244589,25491,24219
29155,"Pemiscot, MO",18174,616771,33937,31095
29157,"Perry, MO",19041,585458,30747,31925
29159,"Pettis, MO",42178,1341510,31806,32674
29161,"Phelps, MO",45020,1408542,31287,33431
29163,"Pike, MO",18572,552636,29756,31170
29165,"Platte, MO",90903,4050770,44561,41795
29167,"Polk, MO",31170,846379,27154,31106
29169,"Pulaski, MO",53175,2214993,41655,46281
29171,"Putnam, MO",4978,140037,28131,31388
29173,"Ralls, MO",10281,347341,33785,34111
29175,"Randolph, MO",25346,828482,32687,33520
29177,"Ray, MO",23230,843496,36311,31076
29179,"Reynolds, MO",6588,177316,26915,36687
29181,"Ripley, MO",14143,364995,25807,25634
29183,"St. Charles, MO",365151,15065110,41257,39671
29185,"St. Clair, MO",9641,261542,27128,26124
29186,"Ste. Genevieve, MO",18124,609914,33652,38799
29187,"St. Francois, MO",65577,1828657,27886,30432
29189,"St. Louis, MO",998692,52713697,52783,51729
29195,"Saline, MO",23280,864947,37154,31730
29197,"Schuyler, MO",4381,113477,25902,24730
29199,"Scotland, MO",4828,143124,29645,26088
29201,"Scott, MO",39136,1417461,36219,33301
29203,"Shannon, MO",8432,186785,22152,22518
29205,"Shelby, MO",6280,215633,34336,26805
29207,"Stoddard, MO",29807,1000739,33574,31451
29209,"Stone, MO",32263,1072133,33231,27018
29211,"Sullivan, MO",6659,226172,33965,35642
29213,"Taney, MO",52736,1435179,27214,28427
29215,"Texas, MO",25936,631861,24362,28079
29217,"Vernon, MO",20963,650092,31011,33404
29219,"Warren, MO",32515,1096006,33708,32532
29221,"Washington, MO",25076,638967,25481,29641
29223,"Wayne, MO",13475,347353,25778,26291
29225,"Webster, MO",36439,993530,27266,30259
29227,"Worth, MO",2150,63640,29600,23313
29229,"Wright, MO",18716,460042,24580,26358
29510,"St. Louis (Independent City), MO",318069,11842448,37232,54252
30001,"Beaverhead, MT",9198,307913,33476,30204
30003,"Big Horn, MT",13093,350962,26805,36662
30005,"Blaine, MT",6565,186315,28380,30437
30007,"Broadwater, MT",5752,161439,28067,32070
30009,"Carbon, MT",10028,359920,35892,28050
30011,"Carter, MT",1152,32775,28451,25393
30013,"Cascade, MT",81837,3228329,39448,36281
30015,"Chouteau, MT",5793,210067,36262,28325
30017,"Custer, MT",11752,407562,34680,33445
30019,"Daniels, MT",1763,87506,49635,31924
30021,"Dawson, MT",8989,296781,33016,36221
30023,"Deer Lodge, MT",9299,271851,29234,29353
30025,"Fallon, MT",2956,122578,41468,49546
30027,"Fergus, MT",11506,396125,34428,31601
30029,"Flathead, MT",91301,3275434,35875,34566
30031,"Gallatin, MT",91377,3356725,36735,34636
30033,"Garfield, MT",1251,37332,29842,22371
30035,"Glacier, MT",13624,407362,29900,36200
30037,"Golden Valley, MT",865,35144,40629,23604
30039,"Granite, MT",3068,97586,31808,29245
30041,"Hill, MT",16397,630361,38444,35069
30043,"Jefferson, MT",11381,446392,39223,33365
30045,"Judith Basin, MT",2004,76357,38102,26863
30047,"Lake, MT",28947,797094,27536,30589
30049,"Lewis and Clark, MT",64318,2501315,38890,39112
30051,"Liberty, MT",2402,87890,36590,27082
30053,"Lincoln, MT",19566,547425,27978,32270
30055,"McCone, MT",1711,56665,33118,32060
30057,"Madison, MT",7660,274387,35821,31682
30059,"Meagher, MT",1911,61956,32421,24950
30061,"Mineral, MT",4208,117382,27895,26837
30063,"Missoula, MT",110138,3875800,35190,34349
30065,"Musselshell, MT",4701,144930,30830,39807
30067,"Park, MT",15469,555886,35935,29883
30069,"Petroleum, MT",491,16055,32699,24870
30071,"Phillips, MT",4250,146433,34455,29324
30073,"Pondera, MT",6257,238852,38174,31861
30075,"Powder River, MT",1738,49945,28737,23526
30077,"Powell, MT",7063,190856,27022,32813
30079,"Prairie, MT",1159,38486,33206,28751
30081,"Ravalli, MT",40450,1252145,30955,30594
30083,"Richland, MT",10128,518377,51183,44785
30085,"Roosevelt, MT",10527,308628,29318,31655
30087,"Rosebud, MT",9379,345576,36846,45363
30089,"Sanders, MT",11440,298143,26061,28053
30091,"Sheridan, MT",3460,149812,43298,30926
30093,"Silver Bow, MT",34383,1329445,38666,36482
30095,"Stillwater, MT",9131,336622,36866,53003
30097,"Sweet Grass, MT",3623,104568,28862,40289
30099,"Teton, MT",6091,244741,40181,31238
30101,"Toole, MT",5239,220679,42122,37657
30103,"Treasure, MT",727,26901,37003,25604
30105,"Valley, MT",7487,293142,39153,33672
30107,"Wheatland, MT",2140,66614,31128,27581
30109,"Wibaux, MT",985,23268,23622,25775
30111,"Yellowstone, MT",150069,5948706,39640,39562
31001,"Adams, NE",31216,1232506,39483,34157
